FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/smallTests/27.trace,0.023092031478881836,1,x0,0.02408469095826149,1,x0,2
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:15;vars:3.trace,0.09740638732910156,1,true,1.1305024782195687,1,true,2
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:11;vars:4.trace,0.09941244125366211,1,true,0.7341960063204169,2,(F x1),1
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:3;vars:2.trace,0.15196609497070312,2,(X x0),0.20325635932385921,2,(X x0),10
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:5;vars:2.trace,0.1668074131011963,2,(X x0),0.19300935603678226,2,(X x0),10
allTests/generatedTracesFromPSL/smallTests/21.trace,0.17745566368103027,2,(G x0),0.1779177561402321,2,(G x0),10
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:5;vars:3.trace,0.35826659202575684,2,(! true),1.3308688504621387,1,false,3
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:5;vars:2.trace,0.36059141159057617,2,(G x0),0.3912266669794917,2,(G x0),10
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:7;vars:3.trace,0.41750311851501465,2,(! true),1.6798834269866347,1,false,3
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:7;vars:2.trace,0.4790005683898926,2,(G x1),0.5450755022466183,2,(G x0),10
allTests/generatedTracesFromPSL/smallTests/01.trace,0.6256163120269775,3,(x0 -> (G x0)),0.6358998259529471,3,(x0 -> (G x0)),4
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:9;vars:3.trace,0.68617844581604,2,(! true),2.961922955699265,3,(x2 & (! x2)),4
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:11;vars:2.trace,0.7337100505828857,2,(! true),3.3641928425058722,3,(x1 & (! x1)),4
allTests/generatedTracesFromPSL/smallTests/26.trace,0.761491060256958,4,(G ((X x0) U x0)),0.6297543700784445,4,(G (x0 U (X x0))),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:11;vars:3.trace,0.8112659454345703,2,(! true),3.5047136656939983,3,(x2 & (! x2)),4
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:15;vars:2.trace,0.8205938339233398,2,(! true),0.9012888837605715,2,(G x0),10
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:13;vars:3.trace,0.8342709541320801,2,(G x1),0.9227874176576734,2,(G x2),10
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:15;vars:3.trace,0.9083578586578369,2,(G x1),0.9742737887427211,2,(G x1),10
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:13;vars:2.trace,0.98441481590271,2,(G x1),0.9868216952309012,2,(G x1),10
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:11;vars:2.trace,1.2221007347106934,3,(F (G x0)),1.2339920364320278,3,(F (G x0)),4
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:11;vars:2.trace,1.2755889892578125,2,(! true),6.071796348318458,3,(x1 & (! x1)),4
allTests/generatedTracesFromPSL/smallTests/11.trace,1.2920019626617432,4,((x1 U (X x1)) -> (X x1)),1.0672204047441483,4,((x1 U (X x1)) -> (X x1)),32
allTests/generatedTracesFromPSL/smallTests/06.trace,1.3881597518920898,4,(x0 -> (X x1)),1.2534674424678087,4,(x0 -> (X x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:11;vars:3.trace,1.4009578227996826,2,(! true),6.426072038710117,1,false,3
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:5;vars:1.trace,1.4389989376068115,3,(G (X x0)),1.4088341500610113,3,(G (X x0)),4
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:15;vars:3.trace,1.74853515625,2,(G x0),2.024457319639623,2,(G x0),10
allTests/generatedTracesFromPSL/smallTests/16.trace,2.0451152324676514,4,(X (x0 -> (X x0))),1.7344702016562223,4,((X x0) -> (X (X x0))),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:11;vars:2.trace,2.9388320446014404,3,(! (G x0)),3.1948519898578525,3,(x0 U (! x0)),4
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:5;vars:3.trace,4.076387882232666,4,((G x0) -> x2),3.6119937179610133,4,((G x0) -> x2),32
