FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/smallTests/27.trace,0.02309203148,1,x0,0.02408469096,1,x0,1
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:3;vars:2.trace,0.151966095,2,(X x0),0.2032563593,2,(X x0),9
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:5;vars:2.trace,0.1668074131,2,(X x0),0.193009356,2,(X x0),9
allTests/generatedTracesFromPSL/smallTests/21.trace,0.1774556637,2,(G x0),0.1779177561,2,(G x0),9
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:5;vars:2.trace,0.3605914116,2,(G x0),0.391226667,2,(G x0),9
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:7;vars:2.trace,0.4790005684,2,(G x1),0.5450755022,2,(G x0),9
allTests/generatedTracesFromPSL/smallTests/01.trace,0.625616312,3,(x0 -> (G x0)),0.635899826,3,(x0 -> (G x0)),4
allTests/generatedTracesFromPSL/smallTests/26.trace,0.7614910603,4,(G ((X x0) U x0)),0.6297543701,4,(G (x0 U (X x0))),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:13;vars:3.trace,0.8342709541,2,(G x1),0.9227874177,2,(G x2),9
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:15;vars:3.trace,0.9083578587,2,(G x1),0.9742737887,2,(G x1),9
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:13;vars:2.trace,0.9844148159,2,(G x1),0.9868216952,2,(G x1),9
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:11;vars:2.trace,1.222100735,3,(F (G x0)),1.233992036,3,(F (G x0)),4
allTests/generatedTracesFromPSL/smallTests/11.trace,1.292001963,4,((x1 U (X x1)) -> (X x1)),1.067220405,4,((x1 U (X x1)) -> (X x1)),32
allTests/generatedTracesFromPSL/smallTests/06.trace,1.388159752,4,(x0 -> (X x1)),1.253467442,4,(x0 -> (X x1)),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:5;vars:1.trace,1.438998938,3,(G (X x0)),1.40883415,3,(G (X x0)),4
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:15;vars:3.trace,1.748535156,2,(G x0),2.02445732,2,(G x0),9
allTests/generatedTracesFromPSL/smallTests/16.trace,2.045115232,4,(X (x0 -> (X x0))),1.734470202,4,((X x0) -> (X (X x0))),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:11;vars:2.trace,2.938832045,3,(! (G x0)),3.19485199,3,(x0 U (! x0)),4
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:5;vars:3.trace,4.076387882,4,((G x0) -> x2),3.611993718,4,((G x0) -> x2),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:3;vars:1.trace,4.7905972,5,(! (x0 U (X (! x0)))),2.245397357,5,(((X x0) -> x0) -> (G (X x0))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:7;vars:2.trace,6.130584717,4,((G x0) -> x1),5.305136262,4,((G x0) -> x1),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:5;vars:1.trace,6.644646645,5,(((X x0) -> x0) -> (G (X x0))),3.773411516,5,(((X x0) -> x0) -> (G (X x0))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:5;vars:2.trace,7.895627022,4,(x0 & (G x1)),6.703968692,4,(x0 & (G x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/25traces;len:9;vars:2.trace,8.006682873,4,((G x1) & x0),6.536109015,4,(x0 & (G x1)),32
allTests/generatedTracesFromPSL/smallTests/29.trace,8.236059189,,((X x0) & (G (x0 U (X x0)))),3.92625314,5,((X x0) & (G (x0 | (X x0)))),7
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:5;vars:3.trace,8.269667625,4,(G (x0 & x1)),6.974942729,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:9;vars:5.trace,8.915429592,4,(x0 -> (x0 U x3)),7.226273742,4,(x0 -> (x0 U x3)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:9;vars:3.trace,9.490824699,4,(x0 -> (X x2)),8.381859994,4,(x0 -> (X x2)),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:7;vars:1.trace,9.723713875,5,((G ((X x0) | x0)) & (X x0)),4.621938836,5,((X x0) & (G (x0 U (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:5;vars:2.trace,11.72111058,4,((x0 . x0) |-> x1),9.621429279,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:7;vars:3.trace,11.91066217,4,((G x0) & x1),9.628581311,4,(x1 & (G x0)),32
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:13;vars:4.trace,12.2271769,4,((x3 U x1) -> x1),10.97289704,4,((x3 U x1) -> x1),32
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:9;vars:1.trace,12.47071767,5,(G (x0 -> (X (X x0)))),5.716419593,5,(G (x0 -> (X (X x0)))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:9;vars:3.trace,14.05608082,4,(G (x0 & x1)),11.7337965,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:9;vars:2.trace,14.47731066,4,(G (x0 & x1)),11.74787354,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/smallTests/30.trace,14.68508244,6,(x1 U ((! x0) & (X (! x0)))),5.704088189,6,((F (X x0)) U (! (x0 | (X x0)))),6
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:13;vars:3.trace,14.97917104,4,((X x0) -> (! x0)),12.35261776,4,((X (! x0)) U (! x0)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:5;vars:3.trace,15.84315085,4,(G (x1 & x0)),13.73179599,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:7;vars:4.trace,16.10463285,5,((X (x1 & x3)) -> x3),9.074324613,5,(X ((F x3) -> (X (F x3)))),50
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:5;vars:4.trace,17.15807915,5,(x2 | (x1 -> x3)),8.224340245,5,(x2 | (x1 -> x3)),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:5;vars:1.trace,18.6370244,5,((x0 & (X x0)) -> (X (X x0))),9.219463219,5,((X x0) -> (x0 -> (X (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:5;vars:5.trace,19.29345012,5,((F (G x2)) -> (X x2)),9.659062387,5,((F (G x2)) -> (X (G x2))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:3;vars:2.trace,20.0274713,5,(X (x0 & (X (X x0)))),12.01127904,5,((X x0) & (G ((X x0) U x0))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:5;vars:2.trace,20.87413096,5,((x0 & (X x0)) -> (G x0)),9.865930622,5,((x0 & (X x0)) -> (G x0)),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:13;vars:2.trace,21.33351231,4,(G (x0 & x1)),17.35100114,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:13;vars:3.trace,23.5389359,4,(G (x1 & x0)),20.04265772,4,(x0 & (G x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:5;vars:3.trace,24.10439825,4,((x0 . x0) |-> x1),20.01585849,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/smallTests/28.trace,27.04023004,5,((* (x0 . x0)) |-> x1),9.396945911,6,(((X x1) U (X (X x1))) U (! (X x1))),17
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:7;vars:4.trace,28.98728132,5,(x0 -> ((X x1) -> x1)),11.08891347,5,((X x1) -> (x0 -> x1)),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:7;vars:2.trace,29.97470903,5,((x1 | x0) U (G x0)),13.26492255,5,((x0 U x1) U (G x0)),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/50traces;len:5;vars:1.trace,31.06601858,5,((x0 & (X x0)) -> (X (X x0))),16.19503411,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:7;vars:2.trace,31.51030278,5,(X ((x0 U (X x0)) -> (X x0))),12.80215972,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:9;vars:3.trace,31.8222363,4,(G (x0 & x1)),26.23982154,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:15;vars:2.trace,32.60823107,4,(x0 & (G x1)),24.37272913,4,(x1 & (G x0)),32
allTests/generatedTracesFromPSL/smallTests/12.trace,32.7175777,5,(x1 -> (X (x0 -> x1))),18.62206772,5,(x1 -> (X (x0 -> x1))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:9;vars:1.trace,32.89090562,5,((x0 U (X x0)) -> (X (x0 U (X x0)))),13.13725114,5,(X (x0 -> (x0 U (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:5;vars:4.trace,34.68059349,5,(x1 -> (x1 U (! x2))),18.19162473,5,(x1 -> (x1 U (! x2))),50
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:9;vars:4.trace,36.05785561,4,((x0 . x0) |-> x2),17.50840071,5,(x0 -> (x2 | (X x2))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:7;vars:1.trace,36.82886624,5,((x0 & (X x0)) -> (X (X x0))),14.8540693,5,((x0 & (X x0)) -> (X (X x0))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:11;vars:3.trace,39.45829463,4,(x0 & (G x1)),39.68348616,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:11;vars:2.trace,41.02302504,4,(G (x0 & x1)),33.92601116,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:9;vars:3.trace,41.64388537,5,(x1 -> ((X x1) -> x2)),16.32432029,5,((x1 & (X x1)) -> x2),50
