FileName,PSL-Time taken(2loops),PSL-Size(2loops),PSL-Formula Generated(2loops),LTL-Time taken,LTL-Size,LTL-Formula Generated
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:3;vars:2.trace,0.124865531921387,2,(X x0),0.133808839134872,2,(X x0)
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/10traces;len:3;vars:2.trace,0.134044885635376,2,(F x1),0.145267827901989,2,(F x1)
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:5;vars:2.trace,0.134827852249146,2,(X x0),0.148009097203612,2,(X x0)
allTests/generatedTracesFromPSL/smallTests/21.trace,0.168231964111328,2,(G x0),0.178306056186557,2,(G x0)
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> (x0 | ((X x1) | (X (X x2)))))/10traces;len:5;vars:3.trace,0.171812772750855,2,(F x0),0.192832311615348,2,(F x0)
allTests/generatedTracesFromPSL/(((! x0) *) |-> (! x1))/10traces;len:7;vars:2.trace,0.179773807525635,2,(F x1),0.226090447045863,2,(F x1)
allTests/generatedTracesFromPSL/(((! x0) *) |-> (! x1))/10traces;len:5;vars:3.trace,0.210955142974854,2,(F x0),0.204890737775713,2,(F x0)
allTests/generatedTracesFromPSL/(((! x0) *) |-> (! x1))/10traces;len:9;vars:2.trace,0.220167636871338,2,(F x0),0.225723817944527,2,(F x0)
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/10traces;len:11;vars:3.trace,0.330666780471802,2,(F x1),0.370219688862562,2,(F x1)
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/10traces;len:3;vars:2.trace,0.347052335739136,3,((F x1) -> x1),0.363392229191959,3,((X x1) -> x1)
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/10traces;len:3;vars:3.trace,0.391419649124146,3,(F (X x0)),0.414964347612113,3,(x0 U (X x0))
